side_a,side_b,win_prob_a
Malaysia,Taiwan,0.335
Malaysia,Vietnam,0.115
Malaysia,Thailand,0.413
Malaysia,Saudi Arabia,0.482
Malaysia,Sweden,0.475
Malaysia,Algeria,0.495
Malaysia,Canada,0.448
Malaysia,Singapore,0.443
Malaysia,Greece,0.485
Malaysia,North Korea,0.287
Malaysia,Argentina,0.503
Malaysia,Nigeria,0.461
Malaysia,Netherlands,0.463
Malaysia,Myanmar,0.426
Malaysia,Mexico,0.505
Malaysia,Bangladesh,0.544
Malaysia,Portugal,0.519
Malaysia,Norway,0.44
Malaysia,South Africa,0.526
Malaysia,Philippines,0.412
Malaysia,Colombia,0.434
Malaysia,Iraq,0.318
Malaysia,Denmark,0.498
Malaysia,Switzerland,0.436
Malaysia,Ethiopia,0.388
Malaysia,Finland,0.445
Malaysia,Chile,0.527
Malaysia,Peru,0.446
Colombia,United States,0.009
Colombia,Russia,0.078
Colombia,China,0.049
Colombia,India,0.177
Colombia,South Korea,0.222
Colombia,France,0.376
Colombia,Japan,0.506
Colombia,United Kingdom,0.375
Colombia,Turkiye,0.445
Colombia,Italy,0.488
Colombia,Brazil,0.489
Colombia,Germany,0.4
Colombia,Indonesia,0.49
Colombia,Pakistan,0.3
Colombia,Israel,0.336
Colombia,Iran,0.306
Colombia,Australia,0.533
Colombia,Spain,0.54
Colombia,Egypt,0.41
Colombia,Ukraine,0.548
Colombia,Poland,0.64
Colombia,Taiwan,0.403
Colombia,Vietnam,0.145
Colombia,Thailand,0.486
Colombia,Saudi Arabia,0.56
Colombia,Sweden,0.549
Colombia,Algeria,0.569
Colombia,Canada,0.523
Colombia,Singapore,0.518
Colombia,Greece,0.559
Colombia,North Korea,0.351
Colombia,Argentina,0.577
Colombia,Nigeria,0.535
Colombia,Netherlands,0.539
Colombia,Myanmar,0.499
Colombia,Mexico,0.579
Colombia,Bangladesh,0.618
Colombia,Portugal,0.592
Colombia,Norway,0.515
Colombia,South Africa,0.6
Colombia,Philippines,0.484
Colombia,Malaysia,0.58
Colombia,Iraq,0.385
Colombia,Denmark,0.573
Colombia,Switzerland,0.51
Colombia,Ethiopia,0.46
Colombia,Finland,0.519
Colombia,Chile,0.6
Colombia,Peru,0.519
Iraq,United States,0.012
Iraq,Russia,0.113
Iraq,China,0.071
Iraq,India,0.255
Iraq,South Korea,0.318
Iraq,France,0.497
Iraq,Japan,0.628
Iraq,United Kingdom,0.496
Iraq,Turkiye,0.566
Iraq,Italy,0.61
Iraq,Brazil,0.61
Iraq,Germany,0.522
Iraq,Indonesia,0.61
Iraq,Pakistan,0.412
Iraq,Israel,0.453
Iraq,Iran,0.42
Iraq,Australia,0.651
Iraq,Spain,0.657
Iraq,Egypt,0.529
Iraq,Ukraine,0.671
Iraq,Poland,0.745
Iraq,Taiwan,0.523
Iraq,Vietnam,0.217
Iraq,Thailand,0.606
Iraq,Saudi Arabia,0.675
Iraq,Sweden,0.665
Iraq,Algeria,0.684
Iraq,Canada,0.641
Iraq,Singapore,0.637
Iraq,Greece,0.674
Iraq,North Korea,0.47
Iraq,Argentina,0.692
Iraq,Nigeria,0.653
Iraq,Netherlands,0.655
Iraq,Myanmar,0.619
Iraq,Mexico,0.693
Iraq,Bangladesh,0.728
Iraq,Portugal,0.706
Iraq,Norway,0.635
Iraq,South Africa,0.713
Iraq,Philippines,0.605
Iraq,Malaysia,0.695
Iraq,Colombia,0.625
Iraq,Denmark,0.687
Iraq,Switzerland,0.63
Iraq,Ethiopia,0.582
Iraq,Finland,0.637
Iraq,Chile,0.712
Iraq,Peru,0.638
Denmark,United States,0.007
Denmark,Russia,0.064
Denmark,China,0.039
Denmark,India,0.146
Denmark,South Korea,0.18
Denmark,France,0.318
Denmark,Japan,0.442
Denmark,United Kingdom,0.317
Denmark,Turkiye,0.382
Denmark,Italy,0.424
Denmark,Brazil,0.425
Denmark,Germany,0.34
Denmark,Indonesia,0.426
Denmark,Pakistan,0.249
Denmark,Israel,0.281
Denmark,Iran,0.254
Denmark,Australia,0.464
Denmark,Spain,0.475
Denmark,Egypt,0.349
Denmark,Ukraine,0.477
Denmark,Poland,0.576
Denmark,Taiwan,0.343
Denmark,Vietnam,0.119
Denmark,Thailand,0.422
Denmark,Saudi Arabia,0.492
Denmark,Sweden,0.483
Denmark,Algeria,0.501
Denmark,Canada,0.457
Denmark,Singapore,0.452
Denmark,Greece,0.493
Denmark,North Korea,0.295
Denmark,Argentina,0.51
Denmark,Nigeria,0.468
Denmark,Netherlands,0.472
Denmark,Myanmar,0.435
Denmark,Mexico,0.512
Denmark,Bangladesh,0.551
Denmark,Portugal,0.525
Denmark,Norway,0.45
Denmark,South Africa,0.533
Denmark,Philippines,0.421
Denmark,Malaysia,0.513
Denmark,Colombia,0.443
Denmark,Iraq,0.327
Denmark,Switzerland,0.445
Denmark,Ethiopia,0.397
Denmark,Finland,0.455
Denmark,Chile,0.533
Denmark,Peru,0.455
Switzerland,United States,0.009
Switzerland,Russia,0.078
Switzerland,China,0.049
Switzerland,India,0.177
Switzerland,South Korea,0.22
Switzerland,France,0.373
Switzerland,Japan,0.503
Switzerland,United Kingdom,0.373
Switzerland,Turkiye,0.442
Switzerland,Italy,0.485
Switzerland,Brazil,0.485
Switzerland,Germany,0.397
Switzerland,Indonesia,0.485
Switzerland,Pakistan,0.298
Switzerland,Israel,0.333
Switzerland,Iran,0.304
Switzerland,Australia,0.529
Switzerland,Spain,0.535
Switzerland,Egypt,0.407
Switzerland,Ukraine,0.547
Switzerland,Poland,0.636
Switzerland,Taiwan,0.401
Switzerland,Vietnam,0.145
Switzerland,Thailand,0.481
Switzerland,Saudi Arabia,0.555
Switzerland,Sweden,0.544
Switzerland,Algeria,0.564
Switzerland,Canada,0.518
Switzerland,Singapore,0.513
Switzerland,Greece,0.554
Switzerland,North Korea,0.349
Switzerland,Argentina,0.573
Switzerland,Nigeria,0.53
Switzerland,Netherlands,0.534
Switzerland,Myanmar,0.494
Switzerland,Mexico,0.574
Switzerland,Bangladesh,0.614
Switzerland,Portugal,0.588
Switzerland,Norway,0.512
Switzerland,South Africa,0.596
Switzerland,Philippines,0.48
Switzerland,Malaysia,0.576
Switzerland,Colombia,0.501
Switzerland,Iraq,0.383
Switzerland,Denmark,0.568
Switzerland,Ethiopia,0.456
Switzerland,Finland,0.514
Switzerland,Chile,0.596
Switzerland,Peru,0.514
Ethiopia,United States,0.01
Ethiopia,Russia,0.089
Ethiopia,China,0.055
Ethiopia,India,0.201
Ethiopia,South Korea,0.256
Ethiopia,France,0.421
Ethiopia,Japan,0.554
Ethiopia,United Kingdom,0.42
Ethiopia,Turkiye,0.492
Ethiopia,Italy,0.535
Ethiopia,Brazil,0.536
Ethiopia,Germany,0.446
Ethiopia,Indonesia,0.535
Ethiopia,Pakistan,0.341
Ethiopia,Israel,0.379
Ethiopia,Iran,0.348
Ethiopia,Australia,0.579
Ethiopia,Spain,0.585
Ethiopia,Egypt,0.456
Ethiopia,Ukraine,0.598
Ethiopia,Poland,0.681
Ethiopia,Taiwan,0.449
Ethiopia,Vietnam,0.17
Ethiopia,Thailand,0.531
Ethiopia,Saudi Arabia,0.605
Ethiopia,Sweden,0.594
Ethiopia,Algeria,0.613
Ethiopia,Canada,0.568
Ethiopia,Singapore,0.564
Ethiopia,Greece,0.604
Ethiopia,North Korea,0.395
Ethiopia,Argentina,0.621
Ethiopia,Nigeria,0.58
Ethiopia,Netherlands,0.584
Ethiopia,Myanmar,0.545
Ethiopia,Mexico,0.623
Ethiopia,Bangladesh,0.66
Ethiopia,Portugal,0.635
Ethiopia,Norway,0.562
Ethiopia,South Africa,0.643
Ethiopia,Philippines,0.531
Ethiopia,Malaysia,0.624
Ethiopia,Colombia,0.552
Ethiopia,Iraq,0.431
Ethiopia,Denmark,0.617
Ethiopia,Switzerland,0.557
Ethiopia,Finland,0.565
Ethiopia,Chile,0.643
Ethiopia,Peru,0.565
Finland,United States,0.008
Finland,Russia,0.076
Finland,China,0.047
Finland,India,0.172
Finland,South Korea,0.213
Finland,France,0.365
Finland,Japan,0.494
Finland,United Kingdom,0.364
Finland,Turkiye,0.433
Finland,Italy,0.476
Finland,Brazil,0.477
Finland,Germany,0.388
Finland,Indonesia,0.478
Finland,Pakistan,0.29
Finland,Israel,0.325
Finland,Iran,0.296
Finland,Australia,0.52
Finland,Spain,0.527
Finland,Egypt,0.398
Finland,Ukraine,0.536
Finland,Poland,0.628
Finland,Taiwan,0.392
Finland,Vietnam,0.141
Finland,Thailand,0.474
Finland,Saudi Arabia,0.547
Finland,Sweden,0.536
Finland,Algeria,0.556
Finland,Canada,0.51
Finland,Singapore,0.505
Finland,Greece,0.547
Finland,North Korea,0.34
Finland,Argentina,0.564
Finland,Nigeria,0.522
Finland,Netherlands,0.526
Finland,Myanmar,0.486
Finland,Mexico,0.566
Finland,Bangladesh,0.605
Finland,Portugal,0.579
Finland,Norway,0.502
Finland,South Africa,0.588
Finland,Philippines,0.472
Finland,Malaysia,0.567
Finland,Colombia,0.493
Finland,Iraq,0.374
Finland,Denmark,0.56
Finland,Switzerland,0.497
Finland,Ethiopia,0.448
Finland,Chile,0.587
Finland,Peru,0.506
Chile,United States,0.007
Chile,Russia,0.058
Chile,China,0.036
Chile,India,0.133
Chile,South Korea,0.163
Chile,France,0.292
Chile,Japan,0.412
Chile,United Kingdom,0.291
Chile,Turkiye,0.354
Chile,Italy,0.395
Chile,Brazil,0.396
Chile,Germany,0.313
Chile,Indonesia,0.397
Chile,Pakistan,0.227
Chile,Israel,0.257
Chile,Iran,0.232
Chile,Australia,0.434
Chile,Spain,0.445
Chile,Egypt,0.322
Chile,Ukraine,0.443
Chile,Poland,0.549
Chile,Taiwan,0.316
Chile,Vietnam,0.108
Chile,Thailand,0.393
Chile,Saudi Arabia,0.461
Chile,Sweden,0.454
Chile,Algeria,0.475
Chile,Canada,0.428
Chile,Singapore,0.422
Chile,Greece,0.464
Chile,North Korea,0.27
Chile,Argentina,0.483
Chile,Nigeria,0.44
Chile,Netherlands,0.442
Chile,Myanmar,0.405
Chile,Mexico,0.485
Chile,Bangladesh,0.524
Chile,Portugal,0.498
Chile,Norway,0.42
Chile,South Africa,0.506
Chile,Philippines,0.392
Chile,Malaysia,0.485
Chile,Colombia,0.413
Chile,Iraq,0.3
Chile,Denmark,0.477
Chile,Switzerland,0.416
Chile,Ethiopia,0.368
Chile,Finland,0.425
Chile,Peru,0.426
Peru,United States,0.008
Peru,Russia,0.074
Peru,China,0.046
Peru,India,0.169
Peru,South Korea,0.213
Peru,France,0.364
Peru,Japan,0.493
Peru,United Kingdom,0.363
Peru,Turkiye,0.432
Peru,Italy,0.475
Peru,Brazil,0.476
Peru,Germany,0.388
Peru,Indonesia,0.477
Peru,Pakistan,0.289
Peru,Israel,0.324
Peru,Iran,0.295
Peru,Australia,0.518
Peru,Spain,0.527
Peru,Egypt,0.398
Peru,Ukraine,0.534
Peru,Poland,0.628
Peru,Taiwan,0.391
Peru,Vietnam,0.139
Peru,Thailand,0.473
Peru,Saudi Arabia,0.547
Peru,Sweden,0.536
Peru,Algeria,0.556
Peru,Canada,0.509
Peru,Singapore,0.504
Peru,Greece,0.546
Peru,North Korea,0.339
Peru,Argentina,0.564
Peru,Nigeria,0.521
Peru,Netherlands,0.525
Peru,Myanmar,0.486
Peru,Mexico,0.566
Peru,Bangladesh,0.604
Peru,Portugal,0.579
Peru,Norway,0.501
Peru,South Africa,0.587
Peru,Philippines,0.472
Peru,Malaysia,0.567
Peru,Colombia,0.493
Peru,Iraq,0.373
Peru,Denmark,0.56
Peru,Switzerland,0.497
Peru,Ethiopia,0.447
Peru,Finland,0.506
Peru,Chile,0.587
